time,[0],[1],[2],[3],[4],[5],[6],[7]
0,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
1,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
2,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
3,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
4,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
5,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
6,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
7,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
8,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
9,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
10,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
11,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
12,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
13,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
14,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
15,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
16,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
17,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
18,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
19,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
20,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
21,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
22,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
23,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
24,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
25,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
26,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
27,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
28,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
29,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
30,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
31,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
32,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
33,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
34,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
35,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
36,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
37,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
38,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
39,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
40,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
41,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
42,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
43,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
44,"ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,","ue3,"
